"Symbol","ID"
BANKNIFTY21N1139200CE,219
BANKNIFTY21N1837800PE,220
BANKNIFTY21N1838000PE,221
BANKNIFTY21NOV36000PE,222
BANKNIFTY21NOV37000PE,223
BANKNIFTY21NOV37300PE,224
BANKNIFTY21NOV37600CE,225
BANKNIFTY21O1438700CE,226
BANKNIFTY21O1438800CE,227
BANKNIFTY21O2139400PE,228
BANKNIFTY21O2139500CE,229
BANKNIFTY21O2140000CE,230
BANKNIFTY21O2140100CE,231
BANKNIFTY21O2140200CE,232
BANKNIFTY21OCT39800PE,233
BANKNIFTY21OCT40000PE,234
BANKNIFTY21OCT41500CE,235
BANKNIFTY21OCT41700CE,236
BANKNIFTY21OCT42300CE,237
BDL,238
BHARTIARTL,239
BHARTIARTL21AUG640CE,240
BIOCON,241
BIOCON21AUG330PE,242
BIOCON21AUG340PE,243
BIOCON21AUG345PE,244
BIOCON21AUG355PE,245
BIOCON21SEP300PE,246
BPCL,247
BRITANNIA,248
CAMS,249
CIPLA,250
COFORGE21AUG5200CE,251
COFORGE21AUG5300CE,252
DEEPAKNTR,253
DLF,254
DLF21NOV480CE,255
DRREDDY,256
DRREDDY21JUN5800CE,257
DRREDDY21NOV5200CE,258
DRREDDY21SEP5800CE,259
EICHERMOT,260
EICHERMOT21AUG2600CE,261
EICHERMOT21NOV2700CE,262
EMAMILTD,263
EMAMILTD*,264
FEDERALBNK,265
FINNIFTY2141514200PE,266
GLENMARK,267
GRASIM,268
GUJGASLTD,269
HAPPSTMNDS,270
HCLTECH,271
HCLTECH21AUG1160CE,272
HDFC,273
HDFC21APR2300PE,274
HDFC21AUG2650PE,275
HDFC21AUG2750CE,276
HDFCBANK,277
HDFCBANK21AUG1560CE,278
HDFCBANK21JUN1540CE,279
HINDALCO,280
HINDALCO21AUG420PE,281
HINDALCO21NOV510CE,282
HINDALCO21OCT500CE,283
HINDUNILVR,284
HINDUNILVR21AUG2480PE,285
HINDUNILVR21AUG2500CE,286
HINDUNILVR21AUG2520CE,287
HINDUNILVR21AUG2600CE,288
HINDUNILVR21AUG2620CE,289
HINDUNILVR21OCT2300PE,290
