"ID","Symbol","Quantity","Buy_Value","Sell_Value","Realized_PnL","Realized_PnL_Pct"
474,NIFTY21OCT18050PE,50,1300,1830,530,41
475,NIFTY21OCT18150CE,50,865,800,-65,-8
476,NIFTY21OCT18300CE,50,4760,4500,-260,-5
477,NIFTY21OCT18400CE,150,9482,9877,395,4
478,NIFTY21OCT18450CE,50,2052,1312,-740,-36
479,NTPC,50,5445,5443,-3,0
480,ONGC,100,10035,10135,100,1
481,PFIZER,3,16107,16060,-47,0
482,POWERGRID,20,4238,4229,-9,0
483,PVR21OCT1900CE,814,5596,8709,3113,56
484,RELIANCE,90,190535,190588,53,0
485,RELIANCE21JUN2140PE,500,24950,26250,1300,5
486,RELIANCE21JUN2160PE,500,31412,30125,-1287,-4
487,RELIANCE21JUN2200CE,3250,140025,139112,-912,-1
488,RELIANCE21MAR1800PE,250,1800,1937,137,8
489,RELIANCE21MAR2220CE,250,10112,8575,-1537,-15
490,RELIANCE21NOV2400PE,500,14075,14787,712,5
491,RELIANCE21NOV2440PE,250,5125,4575,-550,-11
492,RELIANCE21NOV2500PE,250,15912,15750,-162,-1
493,RELIANCE21NOV2560CE,250,12750,11875,-875,-7
494,RELIANCE21NOV2580CE,250,11875,10500,-1375,-12
495,RELIANCE21NOV2620CE,250,8250,7300,-950,-12
496,RELIANCE21OCT2740CE,250,2212,2000,-212,-10
497,RELIANCE21OCT2800CE,250,9725,10000,275,3
498,RELIANCE21OCT2820CE,250,9000,8775,-225,-3
499,RELIANCE21SEP2400CE,250,3500,3250,-250,-7
500,RELIANCE21SEP2600CE,250,775,737,-37,-5
501,ROUTE,76,107718,108520,802,1
502,SBICARD,425,406897,406361,-536,0
503,SBILIFE21NOV1230CE,750,5625,5362,-262,-5
504,SBIN,50,18225,18318,93,1
505,SBIN21JUN440CE,7500,93599,92174,-1425,-2
506,SBIN21NOV580CE,3000,24150,26325,2175,9
507,SBIN21NOV600CE,1500,8400,7200,-1200,-14
508,SHREECEM21AUG25500PE,25,3500,1875,-1625,-46
509,SONACOMS,10,5227,5194,-33,-1
510,TATACHEM,10,8090,8043,-47,-1
511,TATAMOTORS,230,65999,65860,-139,0
512,TATAMOTORS21AUG280PE,2850,11400,10830,-570,-5
513,TATAMOTORS21OCT560CE,8550,11542,9975,-1567,-14
514,TATAPOWER21NOV190PE,13500,23625,22275,-1350,-6
515,TATAPOWER21NOV210PE,6750,3712,4050,337,9
516,TATASTEEL,273,271557,271947,391,0
517,TATASTEEL21AUG1420CE,1700,25500,22695,-2805,-11
518,TATASTEEL21AUG1460CE,850,4802,3570,-1232,-26
519,TCS,77,244045,243658,-387,0
520,TCS21AUG3540CE,900,26415,27645,1230,5
521,TCS21AUG3560CE,300,8790,8100,-690,-8
522,TCS21AUG3580CE,1200,38790,40680,1890,5
523,TCS21AUG3620CE,300,8340,10905,2565,31
524,TCS21OCT3800CE,300,9270,8910,-360,-4
525,TECHM,40,39873,39849,-24,0
526,TIMETECHNO,60,4473,4368,-105,-2
527,TITAN21AUG1880CE,375,8906,8456,-450,-5
528,TITAN21NOV2600CE,375,13368,12993,-375,-3
529,TVSMOTOR21NOV680PE,1400,14000,8820,-5180,-37
530,ULTRACEMCO21AUG7800CE,200,19100,19250,150,1
531,ULTRACEMCO21NOV7500PE,100,2800,3400,600,21
532,ULTRACEMCO21NOV8000CE,300,43195,42075,-1120,-3
533,ULTRACEMCO21NOV8300CE,100,12200,13395,1195,10
534,ULTRACEMCO21NOV8400CE,100,14100,14915,815,6
535,ULTRACEMCO21NOV8500CE,400,30625,30149,-475,-2
536,UPL,145,104907,104905,-2,0
537,VEDL,150,50918,51023,105,0
538,WIPRO,1454,675421,675005,-416,0
539,WIPRO21AUG640CE,1600,7600,8000,400,5
540,YESBANK,50,875,815,-60,-7
541,ZEEL,215,46878,46942,64,0
