"ID","Symbol","Quantity","Buy_Value","Sell_Value","Realized_PnL","Realized_PnL_Pct"
73,BANKNIFTY2131834000CE,1000,300,350,50,17
74,BANKNIFTY2131834100CE,25,322,193,-128,-40
75,BANKNIFTY2131834200PE,25,4375,4500,125,3
76,BANKNIFTY2131834300PE,150,23076,23972,896,4
77,BANKNIFTY2131834400PE,25,4900,4706,-193,-4
78,BANKNIFTY2131834500PE,50,9291,10250,958,10
79,BANKNIFTY2131834600PE,125,25526,26298,772,3
80,BANKNIFTY2131834800CE,25,3125,3000,-125,-4
81,BANKNIFTY2131835500CE,25,3448,3750,301,9
82,BANKNIFTY2131835800CE,250,5511,5385,-126,-2
83,BANKNIFTY2140832300PE,50,15483,14420,-1063,-7
84,BANKNIFTY2140832800CE,75,10250,10077,-172,-2
85,BANKNIFTY2140832900PE,150,14091,12902,-1188,-8
86,BANKNIFTY2140833000CE,50,19352,17700,-1652,-9
87,BANKNIFTY2140833000PE,75,17112,16468,-643,-4
88,BANKNIFTY2140833200CE,25,1000,825,-175,-18
89,BANKNIFTY2140833300PE,125,43796,44787,991,2
90,BANKNIFTY2140833500CE,25,6957,6433,-523,-8
91,BANKNIFTY2141529800PE,25,4116,2563,-1552,-38
92,BANKNIFTY2141530000PE,25,6222,4800,-1422,-23
93,BANKNIFTY2141530500PE,25,10000,9587,-412,-4
94,BANKNIFTY2141530700PE,75,34275,34517,242,1
95,BANKNIFTY2141530800PE,25,11748,12576,827,7
96,BANKNIFTY2141530900PE,150,66807,69873,3066,5
97,BANKNIFTY2141531000CE,100,41775,41850,75,0
98,BANKNIFTY2141531000PE,75,35567,37835,2267,6
99,BANKNIFTY2141531200CE,75,27423,30013,2590,9
100,BANKNIFTY2141531200PE,50,18750,17902,-847,-5
101,BANKNIFTY2141531500CE,200,67996,68731,735,1
102,BANKNIFTY2141531500PE,75,15762,13966,-1796,-11
103,BANKNIFTY2141531600CE,75,30767,32568,1801,6
104,BANKNIFTY2141531700CE,25,8500,7456,-1043,-12
105,BANKNIFTY2141531700PE,25,6557,6711,153,2
106,BANKNIFTY2141531800CE,175,51196,46646,-4550,-9
107,BANKNIFTY2141531800PE,75,20573,19228,-1345,-7
108,BANKNIFTY2141531900CE,250,64775,60546,-4228,-7
109,BANKNIFTY2141531900PE,75,23882,22705,-1177,-5
110,BANKNIFTY2141532000CE,50,7750,6381,-1368,-18
111,BANKNIFTY2141532100PE,50,15500,15671,171,1
112,BANKNIFTY2141533000CE,50,18125,18500,375,2
113,BANKNIFTY2141533200CE,25,7875,7076,-798,-10
114,BANKNIFTY2142230500PE,25,14148,11192,-2956,-21
115,BANKNIFTY2142231300CE,75,17308,17021,-287,-2
116,BANKNIFTY2142231300PE,25,5400,5750,350,6
117,BANKNIFTY2142231400CE,150,27506,25767,-1738,-6
118,BANKNIFTY2142231400PE,25,2451,2451,0,0
119,BANKNIFTY2142231500CE,50,9131,9375,243,3
120,BANKNIFTY2142231500PE,25,5245,5501,256,5
121,BANKNIFTY2142231600CE,25,5075,4277,-797,-16
122,BANKNIFTY2142232100CE,50,32850,32125,-725,-2
123,BANKNIFTY2160334700PE,25,1301,1245,-56,-4
124,BANKNIFTY2160335000PE,75,20483,19441,-1042,-5
125,BANKNIFTY2160335400CE,100,34095,33133,-961,-3
126,BANKNIFTY2160335400PE,75,25750,25821,71,0
127,BANKNIFTY2160335500CE,100,20050,17197,-2852,-14
128,BANKNIFTY2160335500PE,100,28776,29950,1173,4
129,BANKNIFTY2160335600CE,75,8287,8750,462,6
130,BANKNIFTY2160335600PE,25,7243,7175,-68,-1
131,BANKNIFTY2160335700PE,25,9335,8426,-908,-10
132,BANKNIFTY2160335800PE,25,7600,6767,-832,-11
133,BANKNIFTY2160336300CE,75,376,362,-13,-4
134,BANKNIFTY2160336500CE,25,53,46,-7,-14
135,BANKNIFTY2161034300PE,25,370,420,50,14
136,BANKNIFTY2161034600CE,150,49053,47280,-1773,-4
137,BANKNIFTY2161034600PE,25,3958,3510,-448,-11
138,BANKNIFTY2161034700CE,75,17675,16670,-1005,-6
139,BANKNIFTY2161034800CE,75,10813,9986,-827,-8
140,BANKNIFTY2161034800PE,100,10400,9640,-760,-7
141,BANKNIFTY2161034900CE,425,64542,60819,-3722,-6
142,BANKNIFTY2161034900PE,25,6196,5838,-357,-6
143,BANKNIFTY2161035000CE,200,26510,25140,-1370,-5
144,BANKNIFTY2161035000PE,150,25798,25130,-668,-3
145,BANKNIFTY2161035100CE,75,14976,15735,758,5
146,BANKNIFTY2161035100PE,75,16908,17195,286,2
147,BANKNIFTY2161035200CE,100,15072,14225,-847,-6
148,BANKNIFTY2161035200PE,50,14300,16437,2137,15
149,BANKNIFTY2161035300CE,125,14982,16546,1563,10
150,BANKNIFTY2161035400CE,75,11478,11458,-20,0
151,BANKNIFTY2161035400PE,175,57543,55700,-1843,-3
152,BANKNIFTY2161035500CE,100,26042,25508,-533,-2
153,BANKNIFTY2161035600CE,25,7925,7421,-503,-6
154,BANKNIFTY2161035800CE,75,31373,32281,907,3
155,BANKNIFTY2161035900CE,25,10000,9900,-100,-1
156,BANKNIFTY2161036000CE,25,70,66,-3,-5
157,BANKNIFTY2161036300CE,75,932,858,-73,-8
158,BANKNIFTY2161036400CE,75,830,785,-45,-5
159,BANKNIFTY2161734900PE,25,7625,7311,-313,-4
160,BANKNIFTY2161735000CE,50,24275,24307,32,0
161,BANKNIFTY2161735000PE,50,16825,15906,-918,-5
162,BANKNIFTY2161735100CE,100,40000,40561,561,1
163,BANKNIFTY2161735200CE,50,20792,20175,-617,-3
164,BANKNIFTY2161735300CE,25,4487,4575,87,2
165,BANKNIFTY2161735400CE,100,17475,16911,-563,-3
166,BANKNIFTY2161735500CE,75,23382,23028,-353,-2
167,BANKNIFTY2181835600PE,50,5705,5487,-217,-4
168,BANKNIFTY2190236400PE,75,4922,4482,-440,-9
169,BANKNIFTY2190236500CE,50,3850,4543,693,18
